team,r_3pt_radius,court_width,baseline_width,hoop_to_baseline,corner3_distance,corner3_availability,arc_length_inbounds,area_inside_arc,area_outside_arc,twopa_per_game,threepa_per_game,corner3_pa,above_break3_pa,rim_attempt_share,midrange_share,free_throw_rate,eppg,epps,efg_expected,threepar,team_rim_rate,team_corner3_rate,off_reb_rate,pace,opp_3par_allowed,opp_rim_fg_allowed,switch_rate,turnover_rate,def_reb_rate
Cavaliers2016,23.0,54.75,54.75,4.0,22,1.0,72.25663103256524,830.9512568745002,1523.2987431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.0,55.0,55.0,4.0,22,1.0,72.25663103256524,830.9512568745002,1534.0487431254996,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,50.0,50.0,4.0,22,1.0,73.04202919596268,849.1135894030663,1300.8864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,50.25,50.25,4.0,22,1.0,73.04202919596268,849.1135894030663,1311.6364105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,50.5,50.5,4.0,22,1.0,73.04202919596268,849.1135894030663,1322.3864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,50.75,50.75,4.0,22,1.0,73.04202919596268,849.1135894030663,1333.1364105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,51.0,51.0,4.0,22,1.0,73.04202919596268,849.1135894030663,1343.8864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,51.25,51.25,4.0,22,1.0,73.04202919596268,849.1135894030663,1354.6364105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,51.5,51.5,4.0,22,1.0,73.04202919596268,849.1135894030663,1365.3864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,51.75,51.75,4.0,22,1.0,73.04202919596268,849.1135894030663,1376.1364105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,52.0,52.0,4.0,22,1.0,73.04202919596268,849.1135894030663,1386.8864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,52.25,52.25,4.0,22,1.0,73.04202919596268,849.1135894030663,1397.6364105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,52.5,52.5,4.0,22,1.0,73.04202919596268,849.1135894030663,1408.3864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,52.75,52.75,4.0,22,1.0,73.04202919596268,849.1135894030663,1419.1364105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,53.0,53.0,4.0,22,1.0,73.04202919596268,849.1135894030663,1429.8864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,53.25,53.25,4.0,22,1.0,73.04202919596268,849.1135894030663,1440.6364105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,53.5,53.5,4.0,22,1.0,73.04202919596268,849.1135894030663,1451.3864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,53.75,53.75,4.0,22,1.0,73.04202919596268,849.1135894030663,1462.1364105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,54.0,54.0,4.0,22,1.0,73.04202919596268,849.1135894030663,1472.8864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
